question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
A2.1.H9,A2,"Lube drogujuce! Něnto jo pśestawka. Tam prězy jo tankowanišćo, tam su teke toalety. Móžośo how w busu kafej a śopłe jěšnicki kupiś. Kafej płaśi 50 centow a śopłe jěšnicki 1,20 €.",Móžomy w busu kafej a jěšnicki kupiś.,"1 pšawje
2 wopak",1,listening_A2_2
A2.1.H10,A2,"To jo naša nowa sekretaŕka. Jej se groni Weronika Nowakowa. Tśi lěta jo kněni Nowakowa źěłała ako sekretaŕka na Serbskem gymnaziumje w Chóśebuzu. Wót 1. oktobra źěła wóna how pśi nas w Baršću. Witajśo k nam, kněni Nowakowa!",Kněni Nowakowa źěła wót 1. oktobra w Baršću.,"1 pšawje
2 wopak",1,listening_A2_2
A2.1.H11,A2,"Halo, Barbara, how jo Milena. Ja cu pónjeźele zasej raz do fitnesowego studija. Cu sportowaś. Pśiźoš sobu? Witśe njejsom doma. Comy pětk wjacor telefoněrowaś? Měj se derje!",Ga co Milena sportowaś?,"1 witśe 
2 pónjeźele 
3 pětk",2,listening_A2_3
A2.1.H12,A2,"Dobry źeń, Stefanie. Comy sobotu wjacor do kina hyś? Pśiźo super-film „Die Friseurin“ z Gabrielu Mariju Šmajdźineju. Wóna jo Serbowka a bydli w Bremenje. Jeje mama pak hyšći bydli w Budyšinje. Na zasejwiźenje!",Źo bydli Gabriela Marija Šmajdźinowa? ,"1 w Budyšynje 
2 w Bremenje 
3 w Barlinju",2,listening_A2_3
A2.1.H13,A2,"Halo, Kristina, jěź pšosym do kupnice! Pśiźom akle wjacor domoj a na wjacerju comy pizzu pjac. Za to trjebamy cybule, salami a twarožk. Dobry twarožk jo gouda, kup ned 500 gramow. Až do wjacora!",Co dej Kristina kupiś? ,"1 cybule, salami a gouda 
2 cyble, salami a twarog 
3 tomaty, salami a twarožk",1,listening_A2_3
A2.1.H14,A2,"Halo, how jo Anja Budarjowa. Mam źinsa termin pśi was. Bóžko njamóžom pśiś. Mója źowka jo chóra. Pśiducy stwórtk zasej źěłam. Maśo pětk lichy termin? Zazwóńśo pšosym na mój handy. Cysło maśo.",Ga kn. Budarjowa zasej źěła? ,"1 źinsa 
2 stwórtk 
3 pětk",2,listening_A2_3
A2.1.H15,A2,"Halo, mama! How jo Julija. Smy w Drježdźanach. Smy byli w Semperowej operje. Nam se how wjelgin spódoba. Něnto comy hyšći do gósćeńca. Naše gólcy kśě na piwo, ale ty ga wěš, až mě piwo njesłoźi. Pijom rada coktail. Sobotu som zasej doma.",Źo co Julija hyś? ,"1 do Semperoweje opery 
2 domoj 
3 do gósćeńca",3,listening_A2_3
A2.1.L01,A2,"Luba Martina, 
wjele gluki k narodninam. 
Bóžko źinsa njamóžom wótpołdnja k tebje na kafej pśiś. Dejm źinsa dłujko źěłaś. Ale sobotu na fetu pśiźom. Trjebaš hyšći něco za fetu? Wino abo wódu? Groń, gaž dejm něco kupiś. 
Lubje strowi Daniela",Martina ma narodniny.,"1 pšawje
2 wopak",1,reading_A2_1
A2.1.L1,A2,"Luba Martina, 
wjele gluki k narodninam. 
Bóžko źinsa njamóžom wótpołdnja k tebje na kafej pśiś. Dejm źinsa dłujko źěłaś. Ale sobotu na fetu pśiźom. Trjebaš hyšći něco za fetu? Wino abo wódu? Groń, gaž dejm něco kupiś. 
Lubje strowi Daniela",Daniela njepśiźo na kafej.,"1 pšawje
2 wopak",1,reading_A2_1
A2.1.L2,A2,"Luba Martina, 
wjele gluki k narodninam. 
Bóžko źinsa njamóžom wótpołdnja k tebje na kafej pśiś. Dejm źinsa dłujko źěłaś. Ale sobotu na fetu pśiźom. Trjebaš hyšći něco za fetu? Wino abo wódu? Groń, gaž dejm něco kupiś. 
Lubje strowi Daniela",Daniela co piwo kupiś.,"1 pšawje
2 wopak",2,reading_A2_1
A2.1.L3,A2,"Luby kněz Šmidt! 
Wy cośo rad Nowy Casnik cytaś. To nas wjaseli. Pósrědnijomy Wam abonement za jadno lěto. Nowy Casnik pśiźo kuždy tyźeń. Śišćana wersija płaśi 24,00 €. Gaž cośo Nowy Casnik online ako pdf-dataju cytaś, płaśi to 13,20 €. Pšosym napišćo, co sebje žycyśo. 
Wutšobnje strowi 
redakcija",Kněz Šmidt co Nowy Casnik cytaś.,"1 pšawje
2 wopak",1,reading_A2_1
A2.1.L4,A2,"Luby kněz Šmidt! 
Wy cośo rad Nowy Casnik cytaś. To nas wjaseli. Pósrědnijomy Wam abonement za jadno lěto. Nowy Casnik pśiźo kuždy tyźeń. Śišćana wersija płaśi 24,00 €. Gaž cośo Nowy Casnik online ako pdf-dataju cytaś, płaśi to 13,20 €. Pšosym napišćo, co sebje žycyśo. 
Wutšobnje strowi 
redakcija",Nowy Casnik dostanjośo kuždy mjasec.,"1 pšawje
2 wopak",2,reading_A2_1
A2.1.L5,A2,"Luby kněz Šmidt! 
Wy cośo rad Nowy Casnik cytaś. To nas wjaseli. Pósrědnijomy Wam abonement za jadno lěto. Nowy Casnik pśiźo kuždy tyźeń. Śišćana wersija płaśi 24,00 €. Gaž cośo Nowy Casnik online ako pdf-dataju cytaś, płaśi to 13,20 €. Pšosym napišćo, co sebje žycyśo. 
Wutšobnje strowi 
redakcija","Online wersija płaśi 24,00 € na lěto. ","1 pšawje
2 wopak",2,reading_A2_1
A2.1.L11,A2,"Bórkowy – mója rodna wjas
Mě se groni Cornelia Bóśonowa. Ja som se naroźiła w Bórkowach a hyšći źinsa how bydlim. Som něnto 36 lět stara a som sobuźěłaśeŕka marketinga w turistiskem běrowje. Lubujom swójo źěło a swóju domownju. Bórkowy su idyliska wjas, pśez cełu wjas běžy rěka Sprjewja a se źěli do wjele rěckow a tšugow – do znatych Błotow. W lěśu jo how pśecej mań turistow. Wóni cołnuju, padluju, kólasuju abo se wuchójźuju. Ale teke w zymje jo how rědnje. Mamy znatu termu, we wšakich hotelach welnes pórucenja, mały muzeum a wjele móžnosćow za nakupowanje. Naša gmejna se teke stara wó kulturne zarědowanja. A což serbske žywjenje nastupa, swěśi młoźina w Bórkowach zapust, jatšowny wogeń, stajanje majskego boma a kokot. Bórkowy teke cesće serbsku spisowaśelku Minu Witkojc, ako jo how bydliła. Kulturny dom – Dom zmakanjow – nosy jeje mě. How teke namakajomy wejsnu biblioteku a rědnu rumnosć za zarědowanja. Kužde lěto w septemberje jo w Bórkowach wjeliki wejsny swěźeń, na njom pśedstajaju rucnikarje swójo źěło, póbituju lody a wobchody swóje wóry, se pokazuju kulturne programy a casy jo teke pśeśěg pśez wjas ze wšakorakimi wobrazami. Pśi takich swěźenjach jo pśecej wiźeś wjele serbskich drastwow.",Kněni Bóśonowa njebydli w Bórkowach.,"1 pšawje
2 wopak",2,reading_A2_3
A2.1.L12,A2,"Bórkowy – mója rodna wjas
Mě se groni Cornelia Bóśonowa. Ja som se naroźiła w Bórkowach a hyšći źinsa how bydlim. Som něnto 36 lět stara a som sobuźěłaśeŕka marketinga w turistiskem běrowje. Lubujom swójo źěło a swóju domownju. Bórkowy su idyliska wjas, pśez cełu wjas běžy rěka Sprjewja a se źěli do wjele rěckow a tšugow – do znatych Błotow. W lěśu jo how pśecej mań turistow. Wóni cołnuju, padluju, kólasuju abo se wuchójźuju. Ale teke w zymje jo how rědnje. Mamy znatu termu, we wšakich hotelach welnes pórucenja, mały muzeum a wjele móžnosćow za nakupowanje. Naša gmejna se teke stara wó kulturne zarědowanja. A což serbske žywjenje nastupa, swěśi młoźina w Bórkowach zapust, jatšowny wogeń, stajanje majskego boma a kokot. Bórkowy teke cesće serbsku spisowaśelku Minu Witkojc, ako jo how bydliła. Kulturny dom – Dom zmakanjow – nosy jeje mě. How teke namakajomy wejsnu biblioteku a rědnu rumnosć za zarědowanja. Kužde lěto w septemberje jo w Bórkowach wjeliki wejsny swěźeń, na njom pśedstajaju rucnikarje swójo źěło, póbituju lody a wobchody swóje wóry, se pokazuju kulturne programy a casy jo teke pśeśěg pśez wjas ze wšakorakimi wobrazami. Pśi takich swěźenjach jo pśecej wiźeś wjele serbskich drastwow.",Bórkowy su źěl Błotow.,"1 pšawje
2 wopak",1,reading_A2_3
A2.1.L13,A2,"Bórkowy – mója rodna wjas
Mě se groni Cornelia Bóśonowa. Ja som se naroźiła w Bórkowach a hyšći źinsa how bydlim. Som něnto 36 lět stara a som sobuźěłaśeŕka marketinga w turistiskem běrowje. Lubujom swójo źěło a swóju domownju. Bórkowy su idyliska wjas, pśez cełu wjas běžy rěka Sprjewja a se źěli do wjele rěckow a tšugow – do znatych Błotow. W lěśu jo how pśecej mań turistow. Wóni cołnuju, padluju, kólasuju abo se wuchójźuju. Ale teke w zymje jo how rědnje. Mamy znatu termu, we wšakich hotelach welnes pórucenja, mały muzeum a wjele móžnosćow za nakupowanje. Naša gmejna se teke stara wó kulturne zarědowanja. A což serbske žywjenje nastupa, swěśi młoźina w Bórkowach zapust, jatšowny wogeń, stajanje majskego boma a kokot. Bórkowy teke cesće serbsku spisowaśelku Minu Witkojc, ako jo how bydliła. Kulturny dom – Dom zmakanjow – nosy jeje mě. How teke namakajomy wejsnu biblioteku a rědnu rumnosć za zarědowanja. Kužde lěto w septemberje jo w Bórkowach wjeliki wejsny swěźeń, na njom pśedstajaju rucnikarje swójo źěło, póbituju lody a wobchody swóje wóry, se pokazuju kulturne programy a casy jo teke pśeśěg pśez wjas ze wšakorakimi wobrazami. Pśi takich swěźenjach jo pśecej wiźeś wjele serbskich drastwow.",Kněni Bóśonowa źěła w Domje zmakanjow.,"1 pšawje
2 wopak",2,reading_A2_3
A2.1.L14,A2,"Bórkowy – mója rodna wjas
Mě se groni Cornelia Bóśonowa. Ja som se naroźiła w Bórkowach a hyšći źinsa how bydlim. Som něnto 36 lět stara a som sobuźěłaśeŕka marketinga w turistiskem běrowje. Lubujom swójo źěło a swóju domownju. Bórkowy su idyliska wjas, pśez cełu wjas běžy rěka Sprjewja a se źěli do wjele rěckow a tšugow – do znatych Błotow. W lěśu jo how pśecej mań turistow. Wóni cołnuju, padluju, kólasuju abo se wuchójźuju. Ale teke w zymje jo how rědnje. Mamy znatu termu, we wšakich hotelach welnes pórucenja, mały muzeum a wjele móžnosćow za nakupowanje. Naša gmejna se teke stara wó kulturne zarědowanja. A což serbske žywjenje nastupa, swěśi młoźina w Bórkowach zapust, jatšowny wogeń, stajanje majskego boma a kokot. Bórkowy teke cesće serbsku spisowaśelku Minu Witkojc, ako jo how bydliła. Kulturny dom – Dom zmakanjow – nosy jeje mě. How teke namakajomy wejsnu biblioteku a rědnu rumnosć za zarědowanja. Kužde lěto w septemberje jo w Bórkowach wjeliki wejsny swěźeń, na njom pśedstajaju rucnikarje swójo źěło, póbituju lody a wobchody swóje wóry, se pokazuju kulturne programy a casy jo teke pśeśěg pśez wjas ze wšakorakimi wobrazami. Pśi takich swěźenjach jo pśecej wiźeś wjele serbskich drastwow.",Kužde druge lěto jo w Bórkowach wejsny swěźeń. ,"1 pšawje
2 wopak",2,reading_A2_3
A2.1.L15,A2,"Bórkowy – mója rodna wjas
Mě se groni Cornelia Bóśonowa. Ja som se naroźiła w Bórkowach a hyšći źinsa how bydlim. Som něnto 36 lět stara a som sobuźěłaśeŕka marketinga w turistiskem běrowje. Lubujom swójo źěło a swóju domownju. Bórkowy su idyliska wjas, pśez cełu wjas běžy rěka Sprjewja a se źěli do wjele rěckow a tšugow – do znatych Błotow. W lěśu jo how pśecej mań turistow. Wóni cołnuju, padluju, kólasuju abo se wuchójźuju. Ale teke w zymje jo how rědnje. Mamy znatu termu, we wšakich hotelach welnes pórucenja, mały muzeum a wjele móžnosćow za nakupowanje. Naša gmejna se teke stara wó kulturne zarědowanja. A což serbske žywjenje nastupa, swěśi młoźina w Bórkowach zapust, jatšowny wogeń, stajanje majskego boma a kokot. Bórkowy teke cesće serbsku spisowaśelku Minu Witkojc, ako jo how bydliła. Kulturny dom – Dom zmakanjow – nosy jeje mě. How teke namakajomy wejsnu biblioteku a rědnu rumnosć za zarědowanja. Kužde lěto w septemberje jo w Bórkowach wjeliki wejsny swěźeń, na njom pśedstajaju rucnikarje swójo źěło, póbituju lody a wobchody swóje wóry, se pokazuju kulturne programy a casy jo teke pśeśěg pśez wjas ze wšakorakimi wobrazami. Pśi takich swěźenjach jo pśecej wiźeś wjele serbskich drastwow.",Bórkojske źowća nose raźi serbsku drastwu.,"1 pšawje
2 wopak",1,reading_A2_3
