question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
B1.1.L1,B1,"Chóśebuske balokopaŕske mustwo Energija – FCE – jo z wuspěchom zachopiło nowu sezonu. Prědne graśe jo było pśeśiwo mustwoju Osnabrück. Chóśebuske grajarje su dobyli z rezultatom 3:0. To su prědne tśi dypki za Energiju! Nowy trenaŕ jo teke zlubił nowu kulturu graśa. Pśeśiwnik dej se jěsno móliś a z pśechwatańskimi atakami z koncepta spóraś. Prědny raz jo se to zglucyło, naźejuce nowa kultura źaržy až do kóńca sezony.","Rozsuźćo, kótare nadpismo góźi se nejlěpjej ku kótaremu tekstoju.","1 Microsoft co składowańske kapacity w interneśe rozšyriś
2 Skótny gójc naraźijo šćěpjenje za kócki
3 Serbski ludowy ansambl pśepšosyjo na Komorne jawišćo
4 Nowa kultura graśa pla FCE
5 Saněrowana kuchnja we Sprjewinej zakładnej šuli
6 Z energiju žariś jo derje za domacnu kasu
7 Źo jo naša luba kócka?
8 Internet – wjelika pomoc
9 Domacne produkty w šulskej kuchni!
10 Serbski ludowy ansambl na parkowem swěźenju",4,reading_B1_1
B1.1.L2,B1,"Internet jo dobra wěc. Južo někotare klinknjenja z myšku dosegaju a skóro žedno pšašanje njewóstanjo bźez wótegrona, dokulaž jo how pśistupny gigantiski fundus informacijow. Mimo Wikipedije a drugich platformow su źinsa skóro wšykne zarědy, institucije a towaristwa w interneśe prezentne. Teke serbske institucije maju swóje webstrony. Zajmce zgóniju tam wjele wó źěle institucijow a towaristwow, wó aktualnych zarědowanjach a terminach. Teke fota pokazuju se w bogatej licbje.","Rozsuźćo, kótare nadpismo góźi se nejlěpjej ku kótaremu tekstoju.","1 Microsoft co składowańske kapacity w interneśe rozšyriś
2 Skótny gójc naraźijo šćěpjenje za kócki
3 Serbski ludowy ansambl pśepšosyjo na Komorne jawišćo
4 Nowa kultura graśa pla FCE
5 Saněrowana kuchnja we Sprjewinej zakładnej šuli
6 Z energiju žariś jo derje za domacnu kasu
7 Źo jo naša luba kócka?
8 Internet – wjelika pomoc
9 Domacne produkty w šulskej kuchni!
10 Serbski ludowy ansambl na parkowem swěźenju",8,reading_B1_1
B1.1.L3,B1,"Cesćone lubowarje serbskeje kultury! W januarje jo zasej tak daloko, swěśimy ptaškowu swajźbu. A wy sćo wšykne wutšobnje pśepšosone! Serbski ludowy ansambl z Budyšyna pśigótujo nam zasej rědny pisany program. Ten njedejśo skomuźiś! Wy dožywijośo woblubowane spiwy w serbskej rěcy a temperamentne reje, k tomu luštne źiwadłowe sceny. Pótakem wiźimy se 15. januara z. 19.30 na Komornem jawišću w Chóśebuzu. Simultane pśestajenje se póbitujo.","Rozsuźćo, kótare nadpismo góźi se nejlěpjej ku kótaremu tekstoju.","1 Microsoft co składowańske kapacity w interneśe rozšyriś
2 Skótny gójc naraźijo šćěpjenje za kócki
3 Serbski ludowy ansambl pśepšosyjo na Komorne jawišćo
4 Nowa kultura graśa pla FCE
5 Saněrowana kuchnja we Sprjewinej zakładnej šuli
6 Z energiju žariś jo derje za domacnu kasu
7 Źo jo naša luba kócka?
8 Internet – wjelika pomoc
9 Domacne produkty w šulskej kuchni!
10 Serbski ludowy ansambl na parkowem swěźenju",3,reading_B1_1
B1.1.L4,B1,"Lube susedy, 
pytamy našu kócku! Jej se groni Mimi. Wóna jo jadno lěto stara, ma šeru kóžu, běły lac a prězy napšawo běłu powtku. Jeje wócy stej zelenej. Mimi jo inteligentna a wjelgin gněśata. Wóna lubujo źiśi a njama tšach pśed luźimi. Gaž jo něchten našu kócku wiźeł abo namakał, zazwóńśo pšosym na familiju Markus pód cysłom 035433-792117. Naša mała Annika jo wjelgin tužna a caka na swóju Mimi.","Rozsuźćo, kótare nadpismo góźi se nejlěpjej ku kótaremu tekstoju.","1 Microsoft co składowańske kapacity w interneśe rozšyriś
2 Skótny gójc naraźijo šćěpjenje za kócki
3 Serbski ludowy ansambl pśepšosyjo na Komorne jawišćo
4 Nowa kultura graśa pla FCE
5 Saněrowana kuchnja we Sprjewinej zakładnej šuli
6 Z energiju žariś jo derje za domacnu kasu
7 Źo jo naša luba kócka?
8 Internet – wjelika pomoc
9 Domacne produkty w šulskej kuchni!
10 Serbski ludowy ansambl na parkowem swěźenju",7,reading_B1_1
B1.1.L5,B1,"Strowa jěza jo wažna za źiśi a dorosćonych. Togodla zarědujo se lětosa „Warjeńska turneja z Mariusom Zeleńkom”. Marius Zeleńk jo kuchaŕ a pśewjeźo akciju na zakładnych šulach wokrejsa Sprjewja-Nysa. Gromaźe z personalom šule a źiśimi wari strowu jězu z domacnymi produktami. Wón wužywa pśi tom jano sezonowu zeleninu a sad z domacnych gumnow. Z lažkimi receptami guslujo słodne wobjedy. Ceptarje a źiśi směju pótom gódnośiś, lěc jo wobjed dobry abo nic.","Rozsuźćo, kótare nadpismo góźi se nejlěpjej ku kótaremu tekstoju.","1 Microsoft co składowańske kapacity w interneśe rozšyriś
2 Skótny gójc naraźijo šćěpjenje za kócki
3 Serbski ludowy ansambl pśepšosyjo na Komorne jawišćo
4 Nowa kultura graśa pla FCE
5 Saněrowana kuchnja we Sprjewinej zakładnej šuli
6 Z energiju žariś jo derje za domacnu kasu
7 Źo jo naša luba kócka?
8 Internet – wjelika pomoc
9 Domacne produkty w šulskej kuchni!
10 Serbski ludowy ansambl na parkowem swěźenju",9,reading_B1_1
B1.1.L6,B1,"Woglěd do nowego krajnego sejma w Pódstupimje
Serbski wuběrk wokrejsa Sprjewja-Nysa gótujo kužde lěto kubłańsku jězbu. Lětosa jo se wón wupórał do głownego města Bramborskeje, do Pódstupima. Cil jo był nowy bramborski krajny sejm.
Bus jo parkował blisko dwórnišća a kupka jo šła pěšy do směra parlamenta. Pśi tom su južo wiźeli wótdaloka wjelike nowe twarjenje sejma. Ned pśi zachoźe wita gósći z Dolneje Łužyce dwójorěcna tofla z nimskim a serbskim napismom „Landtag Brandenburg – Krajny sejm Bramborska”.
Pśez Fortunowy portal, kótaryž jo głowny zachod do twarjenja krajnego sejma, zastupiju pón do šyrokego nutśikownego dwóra. How wise tśi chórgoji – nimska, bramborska a europejska. Serbska chórgoj se ześěgnjo jano na wěstych dnjach. Zagronity za zjawnostne źěło parlamenta pówitajo kupku a wjeźo ju do foyera. Tam stoj model sejma. Na toś tom modelu rozkładujo, kótare rumnosći nowe moderne twarjenje ma.
Design sejma jo skóro spartaniski, ale praktiski. Na styrich etažach su rozdźělone běrowy wótpósłańcow, pśistajonych parlamenta, politiskich frakcijow, wuběrkow a ministarjow. Dogromady 390 źěłowych městnow ma krajny sejm.
Na kuždej etažy jo mjeńšy zal za wšake wobradowanja. We srjejźi twarjenja jo se wě plenarny zal ze 470 kwadratnymi mejtarjami a 88 městnami za bramborski parlament. Zal ma teke tribunu za gósći ze 160 městnami. How nadejźomy teke moderny medijowy centrum.
Z wjelikeje terase na stwórtej etažy maju gósći kšasny wid na dwór a bliske twarjenja w centrumje města. Pódla terase jo kantina parlamenta.
Głowna barwa w cełem sejmje jo běła, tak su wugótowane źurja, wokna, schódy, sćěny a zdźela teke meble. Někotare elementy pak su cerwjene, ako na pśikład stoły w plenarnem zalu. Architektura a nutśikowne wugótowanje twóritej pótakem cełk – w bramborskima barwoma.
Gósćam se wšykno wjelgin derje spódoba. Wóni se wuźěkuju za kompetentne wjeźenje. Pśi rozžognowanju hyšći zgóniju, až někotare źěle internetowych bokow krajnego sejma su teke w serbskej rěcy, až eksistěrujo flyer w serbskej rěcy wó twarjenju a až móžoš na interaktiwnych informaciskich słupach teke dolnoserbske teksty cytaś.",Chto pśewjeźo kubłańsku jězbu? ,"1 Bramborski krajny sejm 
2 serbski wuběrk Sprjewja-Nysa 
3 Domowinska kupka Pódstupim",2,reading_B1_2
B1.1.L7,B1,"Woglěd do nowego krajnego sejma w Pódstupimje
Serbski wuběrk wokrejsa Sprjewja-Nysa gótujo kužde lěto kubłańsku jězbu. Lětosa jo se wón wupórał do głownego města Bramborskeje, do Pódstupima. Cil jo był nowy bramborski krajny sejm.
Bus jo parkował blisko dwórnišća a kupka jo šła pěšy do směra parlamenta. Pśi tom su južo wiźeli wótdaloka wjelike nowe twarjenje sejma. Ned pśi zachoźe wita gósći z Dolneje Łužyce dwójorěcna tofla z nimskim a serbskim napismom „Landtag Brandenburg – Krajny sejm Bramborska”.
Pśez Fortunowy portal, kótaryž jo głowny zachod do twarjenja krajnego sejma, zastupiju pón do šyrokego nutśikownego dwóra. How wise tśi chórgoji – nimska, bramborska a europejska. Serbska chórgoj se ześěgnjo jano na wěstych dnjach. Zagronity za zjawnostne źěło parlamenta pówitajo kupku a wjeźo ju do foyera. Tam stoj model sejma. Na toś tom modelu rozkładujo, kótare rumnosći nowe moderne twarjenje ma.
Design sejma jo skóro spartaniski, ale praktiski. Na styrich etažach su rozdźělone běrowy wótpósłańcow, pśistajonych parlamenta, politiskich frakcijow, wuběrkow a ministarjow. Dogromady 390 źěłowych městnow ma krajny sejm.
Na kuždej etažy jo mjeńšy zal za wšake wobradowanja. We srjejźi twarjenja jo se wě plenarny zal ze 470 kwadratnymi mejtarjami a 88 městnami za bramborski parlament. Zal ma teke tribunu za gósći ze 160 městnami. How nadejźomy teke moderny medijowy centrum.
Z wjelikeje terase na stwórtej etažy maju gósći kšasny wid na dwór a bliske twarjenja w centrumje města. Pódla terase jo kantina parlamenta.
Głowna barwa w cełem sejmje jo běła, tak su wugótowane źurja, wokna, schódy, sćěny a zdźela teke meble. Někotare elementy pak su cerwjene, ako na pśikład stoły w plenarnem zalu. Architektura a nutśikowne wugótowanje twóritej pótakem cełk – w bramborskima barwoma.
Gósćam se wšykno wjelgin derje spódoba. Wóni se wuźěkuju za kompetentne wjeźenje. Pśi rozžognowanju hyšći zgóniju, až někotare źěle internetowych bokow krajnego sejma su teke w serbskej rěcy, až eksistěrujo flyer w serbskej rěcy wó twarjenju a až móžoš na interaktiwnych informaciskich słupach teke dolnoserbske teksty cytaś.",Napismo pśi zachoźe krajnego sejma jo ,"1 nimske a serbske. 
2 nimske a engelske. 
3 nimske a pólske.",1,reading_B1_2
B1.1.L8,B1,"Woglěd do nowego krajnego sejma w Pódstupimje
Serbski wuběrk wokrejsa Sprjewja-Nysa gótujo kužde lěto kubłańsku jězbu. Lětosa jo se wón wupórał do głownego města Bramborskeje, do Pódstupima. Cil jo był nowy bramborski krajny sejm.
Bus jo parkował blisko dwórnišća a kupka jo šła pěšy do směra parlamenta. Pśi tom su južo wiźeli wótdaloka wjelike nowe twarjenje sejma. Ned pśi zachoźe wita gósći z Dolneje Łužyce dwójorěcna tofla z nimskim a serbskim napismom „Landtag Brandenburg – Krajny sejm Bramborska”.
Pśez Fortunowy portal, kótaryž jo głowny zachod do twarjenja krajnego sejma, zastupiju pón do šyrokego nutśikownego dwóra. How wise tśi chórgoji – nimska, bramborska a europejska. Serbska chórgoj se ześěgnjo jano na wěstych dnjach. Zagronity za zjawnostne źěło parlamenta pówitajo kupku a wjeźo ju do foyera. Tam stoj model sejma. Na toś tom modelu rozkładujo, kótare rumnosći nowe moderne twarjenje ma.
Design sejma jo skóro spartaniski, ale praktiski. Na styrich etažach su rozdźělone běrowy wótpósłańcow, pśistajonych parlamenta, politiskich frakcijow, wuběrkow a ministarjow. Dogromady 390 źěłowych městnow ma krajny sejm.
Na kuždej etažy jo mjeńšy zal za wšake wobradowanja. We srjejźi twarjenja jo se wě plenarny zal ze 470 kwadratnymi mejtarjami a 88 městnami za bramborski parlament. Zal ma teke tribunu za gósći ze 160 městnami. How nadejźomy teke moderny medijowy centrum.
Z wjelikeje terase na stwórtej etažy maju gósći kšasny wid na dwór a bliske twarjenja w centrumje města. Pódla terase jo kantina parlamenta.
Głowna barwa w cełem sejmje jo běła, tak su wugótowane źurja, wokna, schódy, sćěny a zdźela teke meble. Někotare elementy pak su cerwjene, ako na pśikład stoły w plenarnem zalu. Architektura a nutśikowne wugótowanje twóritej pótakem cełk – w bramborskima barwoma.
Gósćam se wšykno wjelgin derje spódoba. Wóni se wuźěkuju za kompetentne wjeźenje. Pśi rozžognowanju hyšći zgóniju, až někotare źěle internetowych bokow krajnego sejma su teke w serbskej rěcy, až eksistěrujo flyer w serbskej rěcy wó twarjenju a až móžoš na interaktiwnych informaciskich słupach teke dolnoserbske teksty cytaś.",Wjele cłonkow ma Bramborski parlament?,"1 160
2 88
3 390",2,reading_B1_2
B1.1.L9,B1,"Woglěd do nowego krajnego sejma w Pódstupimje
Serbski wuběrk wokrejsa Sprjewja-Nysa gótujo kužde lěto kubłańsku jězbu. Lětosa jo se wón wupórał do głownego města Bramborskeje, do Pódstupima. Cil jo był nowy bramborski krajny sejm.
Bus jo parkował blisko dwórnišća a kupka jo šła pěšy do směra parlamenta. Pśi tom su južo wiźeli wótdaloka wjelike nowe twarjenje sejma. Ned pśi zachoźe wita gósći z Dolneje Łužyce dwójorěcna tofla z nimskim a serbskim napismom „Landtag Brandenburg – Krajny sejm Bramborska”.
Pśez Fortunowy portal, kótaryž jo głowny zachod do twarjenja krajnego sejma, zastupiju pón do šyrokego nutśikownego dwóra. How wise tśi chórgoji – nimska, bramborska a europejska. Serbska chórgoj se ześěgnjo jano na wěstych dnjach. Zagronity za zjawnostne źěło parlamenta pówitajo kupku a wjeźo ju do foyera. Tam stoj model sejma. Na toś tom modelu rozkładujo, kótare rumnosći nowe moderne twarjenje ma.
Design sejma jo skóro spartaniski, ale praktiski. Na styrich etažach su rozdźělone běrowy wótpósłańcow, pśistajonych parlamenta, politiskich frakcijow, wuběrkow a ministarjow. Dogromady 390 źěłowych městnow ma krajny sejm.
Na kuždej etažy jo mjeńšy zal za wšake wobradowanja. We srjejźi twarjenja jo se wě plenarny zal ze 470 kwadratnymi mejtarjami a 88 městnami za bramborski parlament. Zal ma teke tribunu za gósći ze 160 městnami. How nadejźomy teke moderny medijowy centrum.
Z wjelikeje terase na stwórtej etažy maju gósći kšasny wid na dwór a bliske twarjenja w centrumje města. Pódla terase jo kantina parlamenta.
Głowna barwa w cełem sejmje jo běła, tak su wugótowane źurja, wokna, schódy, sćěny a zdźela teke meble. Někotare elementy pak su cerwjene, ako na pśikład stoły w plenarnem zalu. Architektura a nutśikowne wugótowanje twóritej pótakem cełk – w bramborskima barwoma.
Gósćam se wšykno wjelgin derje spódoba. Wóni se wuźěkuju za kompetentne wjeźenje. Pśi rozžognowanju hyšći zgóniju, až někotare źěle internetowych bokow krajnego sejma su teke w serbskej rěcy, až eksistěrujo flyer w serbskej rěcy wó twarjenju a až móžoš na interaktiwnych informaciskich słupach teke dolnoserbske teksty cytaś.",Wjelikosć plenarnego zala jo ,"1 wokoło styrista m^2. 
2 skóro pěśstow m^2. 
3 nic razka tśista m^2.",2,reading_B1_2
B1.1.L10,B1,"Woglěd do nowego krajnego sejma w Pódstupimje
Serbski wuběrk wokrejsa Sprjewja-Nysa gótujo kužde lěto kubłańsku jězbu. Lětosa jo se wón wupórał do głownego města Bramborskeje, do Pódstupima. Cil jo był nowy bramborski krajny sejm.
Bus jo parkował blisko dwórnišća a kupka jo šła pěšy do směra parlamenta. Pśi tom su južo wiźeli wótdaloka wjelike nowe twarjenje sejma. Ned pśi zachoźe wita gósći z Dolneje Łužyce dwójorěcna tofla z nimskim a serbskim napismom „Landtag Brandenburg – Krajny sejm Bramborska”.
Pśez Fortunowy portal, kótaryž jo głowny zachod do twarjenja krajnego sejma, zastupiju pón do šyrokego nutśikownego dwóra. How wise tśi chórgoji – nimska, bramborska a europejska. Serbska chórgoj se ześěgnjo jano na wěstych dnjach. Zagronity za zjawnostne źěło parlamenta pówitajo kupku a wjeźo ju do foyera. Tam stoj model sejma. Na toś tom modelu rozkładujo, kótare rumnosći nowe moderne twarjenje ma.
Design sejma jo skóro spartaniski, ale praktiski. Na styrich etažach su rozdźělone běrowy wótpósłańcow, pśistajonych parlamenta, politiskich frakcijow, wuběrkow a ministarjow. Dogromady 390 źěłowych městnow ma krajny sejm.
Na kuždej etažy jo mjeńšy zal za wšake wobradowanja. We srjejźi twarjenja jo se wě plenarny zal ze 470 kwadratnymi mejtarjami a 88 městnami za bramborski parlament. Zal ma teke tribunu za gósći ze 160 městnami. How nadejźomy teke moderny medijowy centrum.
Z wjelikeje terase na stwórtej etažy maju gósći kšasny wid na dwór a bliske twarjenja w centrumje města. Pódla terase jo kantina parlamenta.
Głowna barwa w cełem sejmje jo běła, tak su wugótowane źurja, wokna, schódy, sćěny a zdźela teke meble. Někotare elementy pak su cerwjene, ako na pśikład stoły w plenarnem zalu. Architektura a nutśikowne wugótowanje twóritej pótakem cełk – w bramborskima barwoma.
Gósćam se wšykno wjelgin derje spódoba. Wóni se wuźěkuju za kompetentne wjeźenje. Pśi rozžognowanju hyšći zgóniju, až někotare źěle internetowych bokow krajnego sejma su teke w serbskej rěcy, až eksistěrujo flyer w serbskej rěcy wó twarjenju a až móžoš na interaktiwnych informaciskich słupach teke dolnoserbske teksty cytaś.",Cerwjene w twarjenju su na pśikład ,"1 schódy. 
2 źurja a sćěny. 
3 stoły w plenarnem zalu.",3,reading_B1_2
B1.1.S1,B1,"Luba mama,
něnto som južo ( I ) tyźenje ducy. To sportowe kólaso se napšawdu ( II ) góźi za tu turu. Ale ty sy zawěsće ( III ), co som dožywił? ( IV ) Stockholmje som wóstał dwa dnja. Město jo kšasne a wjedro jo było teke słyńcne a śopłe. Pótom som jěł ze ( V ) do Uppsale a se znatu katedralu a uniwersitu woglědał.
Pótom pak jo ( VI ) cas, dalej drogowaś. Mam ga hyšći 1000 kilometrow pśed ( VII ). Som z kólasom jěł ( VIII ) regiona Dalarna, ako jo pšawa parla. Bomy su wjelike a stare, jazory cyste a błyšćate a mój stan jo był wobdany wót carnych ( IX ) a wrjosa. Som dožywił taku śišynu, ( X ) som był ceło wobguslowany. Jo było śěžko, se zasej na ciwilizaciju zwucyś. Mójo žywjenje jo momentanje mimo chwatanja a glědanja na zeger.
Něnto ( XI ) w śěgu do Trondheima, do Norwegskeje. To jo mója pśiduca stacija. Som strowy a ( XII ) se źo derje, njegótujśo se žedne starosći.
Z pódpołnocy strowi
Twój Mato",Wupołniśo městno co. I z pšawym słowom.,"1 pěś 
2 tśi 
3 jaden",2,grammar_B1_1
B1.1.S2,B1,"Luba mama,
něnto som južo ( I ) tyźenje ducy. To sportowe kólaso se napšawdu ( II ) góźi za tu turu. Ale ty sy zawěsće ( III ), co som dožywił? ( IV ) Stockholmje som wóstał dwa dnja. Město jo kšasne a wjedro jo było teke słyńcne a śopłe. Pótom som jěł ze ( V ) do Uppsale a se znatu katedralu a uniwersitu woglědał.
Pótom pak jo ( VI ) cas, dalej drogowaś. Mam ga hyšći 1000 kilometrow pśed ( VII ). Som z kólasom jěł ( VIII ) regiona Dalarna, ako jo pšawa parla. Bomy su wjelike a stare, jazory cyste a błyšćate a mój stan jo był wobdany wót carnych ( IX ) a wrjosa. Som dožywił taku śišynu, ( X ) som był ceło wobguslowany. Jo było śěžko, se zasej na ciwilizaciju zwucyś. Mójo žywjenje jo momentanje mimo chwatanja a glědanja na zeger.
Něnto ( XI ) w śěgu do Trondheima, do Norwegskeje. To jo mója pśiduca stacija. Som strowy a ( XII ) se źo derje, njegótujśo se žedne starosći.
Z pódpołnocy strowi
Twój Mato",Wupołniśo městno co. II z pšawym słowom.,"1 dobra 
2 dobry 
3 derje",3,grammar_B1_1
B1.1.S3,B1,"Luba mama,
něnto som južo ( I ) tyźenje ducy. To sportowe kólaso se napšawdu ( II ) góźi za tu turu. Ale ty sy zawěsće ( III ), co som dožywił? ( IV ) Stockholmje som wóstał dwa dnja. Město jo kšasne a wjedro jo było teke słyńcne a śopłe. Pótom som jěł ze ( V ) do Uppsale a se znatu katedralu a uniwersitu woglědał.
Pótom pak jo ( VI ) cas, dalej drogowaś. Mam ga hyšći 1000 kilometrow pśed ( VII ). Som z kólasom jěł ( VIII ) regiona Dalarna, ako jo pšawa parla. Bomy su wjelike a stare, jazory cyste a błyšćate a mój stan jo był wobdany wót carnych ( IX ) a wrjosa. Som dožywił taku śišynu, ( X ) som był ceło wobguslowany. Jo było śěžko, se zasej na ciwilizaciju zwucyś. Mójo žywjenje jo momentanje mimo chwatanja a glědanja na zeger.
Něnto ( XI ) w śěgu do Trondheima, do Norwegskeje. To jo mója pśiduca stacija. Som strowy a ( XII ) se źo derje, njegótujśo se žedne starosći.
Z pódpołnocy strowi
Twój Mato",Wupołniśo městno co. III z pšawym słowom.,"1 narska 
2 narsko 
3 narski",1,grammar_B1_1
B1.1.S4,B1,"Luba mama,
něnto som južo ( I ) tyźenje ducy. To sportowe kólaso se napšawdu ( II ) góźi za tu turu. Ale ty sy zawěsće ( III ), co som dožywił? ( IV ) Stockholmje som wóstał dwa dnja. Město jo kšasne a wjedro jo było teke słyńcne a śopłe. Pótom som jěł ze ( V ) do Uppsale a se znatu katedralu a uniwersitu woglědał.
Pótom pak jo ( VI ) cas, dalej drogowaś. Mam ga hyšći 1000 kilometrow pśed ( VII ). Som z kólasom jěł ( VIII ) regiona Dalarna, ako jo pšawa parla. Bomy su wjelike a stare, jazory cyste a błyšćate a mój stan jo był wobdany wót carnych ( IX ) a wrjosa. Som dožywił taku śišynu, ( X ) som był ceło wobguslowany. Jo było śěžko, se zasej na ciwilizaciju zwucyś. Mójo žywjenje jo momentanje mimo chwatanja a glědanja na zeger.
Něnto ( XI ) w śěgu do Trondheima, do Norwegskeje. To jo mója pśiduca stacija. Som strowy a ( XII ) se źo derje, njegótujśo se žedne starosći.
Z pódpołnocy strowi
Twój Mato",Wupołniśo městno co. IV z pšawym słowom.,"1 z 
2 do 
3 w",3,grammar_B1_1
