question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
A1.1.L6,A1,"Přeprošenje na premjeru 
Serbskeje Protyki 
Hdy? pjatk, 30. septembra, w 19:00 hodź. 
Hdźe? w hosćencu „Meja“ w Radworju 
Moderacija: Chrysta Nowakowa a Gerat Buk 
Ludowe nakładnistwo Domowina 
Sukelnska 27 | 02625 Budyšin 
tel.: 035 91 - 577 0 | faks: 035 91 - 577 243",Prezentacija noweje Protyki je w Radworju.,"1 prawje
2 wopak",1,reading_A1_2
A1.1.L7,A1,"Přeprošenje na premjeru 
Serbskeje Protyki 
Hdy? pjatk, 30. septembra, w 19:00 hodź. 
Hdźe? w hosćencu „Meja“ w Radworju 
Moderacija: Chrysta Nowakowa a Gerat Buk 
Ludowe nakładnistwo Domowina 
Sukelnska 27 | 02625 Budyšin 
tel.: 035 91 - 577 0 | faks: 035 91 - 577 243",Prezentacija je w muzeju.,"1 prawje
2 wopak",2,reading_A1_2
A1.1.L8,A1,"Přeprošenje na premjeru 
Serbskeje Protyki 
Hdy? pjatk, 30. septembra, w 19:00 hodź. 
Hdźe? w hosćencu „Meja“ w Radworju 
Moderacija: Chrysta Nowakowa a Gerat Buk 
Ludowe nakładnistwo Domowina 
Sukelnska 27 | 02625 Budyšin 
tel.: 035 91 - 577 0 | faks: 035 91 - 577 243",Ludowe nakładnistwo Domowina je w Drježdźanach.,"1 prawje
2 wopak",2,reading_A1_2
A1.1.L9,A1,"Wornarjec swójba
Luba Milenka! To je moja swójba. Wšitcy su na wobrazu. Zady widźiš našu wowku a našeho dźěda. Nalěwo staj nan a mać. Ja steju srjedźa z wiolinu. Sym dźewjeć lět stary. Naprawo widźiš moju sotru Wandu. Wona je jědnaće lět stara. Pawlina je sydom lět stara. Mój mały bratr Majk je w pěstowarni. Wón je tři lěta stary. Mamy tež psyka a kóčku. Moppy je čorny a Minka je bruna. 
Luby postrow twój přećel 
Matej Wornar",Knjez Wornar a knjeni Wornarjowa mataj tři dźěći.,"1 prawje
2 wopak",2,reading_A1_2
A1.1.L10,A1,"Wornarjec swójba
Luba Milenka! To je moja swójba. Wšitcy su na wobrazu. Zady widźiš našu wowku a našeho dźěda. Nalěwo staj nan a mać. Ja steju srjedźa z wiolinu. Sym dźewjeć lět stary. Naprawo widźiš moju sotru Wandu. Wona je jědnaće lět stara. Pawlina je sydom lět stara. Mój mały bratr Majk je w pěstowarni. Wón je tři lěta stary. Mamy tež psyka a kóčku. Moppy je čorny a Minka je bruna. 
Luby postrow twój přećel 
Matej Wornar",Pawlina je dźewjeć lět stara.,"1 prawje
2 wopak",2,reading_A1_2
A1.1.L03,A1,"Adresa Rěčneho centruma WITAJ:
RĚČNY CENTRUM WITAJ 
ma nětko nowe běrowy w Serbskim domje na Póstowym naměsće 2.",Rěčny centrum WITAJ je w Serbskim domje. ,"1 prawje
2 wopak",1,reading_A1_3
A1.1.L11,A1,"Hort informuje:
Lube maćerje, lubi nanojo, lube dźěći!
Přeprošujemy Was pjatk na dźěćacy swjedźeń.
– w l4.30 hodź. pijemy kofej
– w l5.30 hodź. je mały program dźěći
– w l6.00 hodź. hrajkamy sej hromadźe na hrajkanišću
– w l7.00 hodź. grilujemy kołbaski",Starši přihotuja mały program.,"1 prawje
2 wopak",2,reading_A1_3
A1.1.L12,A1,"Sekretariat je wočinjeny: 
póndźelu a wutoru: 8.00 - 13.00 
štwórtk a pjatk: 8.00 - 13.00 
wutoru: 14.00 - 15.00 
štwórtk a pjatk: 14.00 - 15.00 ",Sekretariat srjedu wočinjeny njeje.,"1 prawje
2 wopak",1,reading_A1_3
A1.1.L13,A1,"W hosćencu:
!! Šnicl XL !! 
Pola nas móžeće derje wobjedować. Naše šnicle su wulke a dobre. Kónc tydźenja mamy 50 % rabata.",Sobotu njeje žadyn rabat. ,"1 prawje
2 wopak",2,reading_A1_3
A1.1.L14,A1,"Na durjach šule: 
Lubi serbšćinarjo! 
Přichodny tydźeń su jutry. Tohodla njeje póndźelu žana wučba. Kurs je zaso wutoru wječor wot 17.30 do 19.00 hodź.","Póndźelu njeje kurs, ale wutoru. ","1 prawje
2 wopak",1,reading_A1_3
A1.1.L15,A1,"Informacija za staršich: 
Lubi starši, 
chce Waša dźowka abo Waš syn na gymnazij chodźić? Wutoru w 19.00 hodź. je informaciski wječor. Porěči knjez Wjacławk ze Serbskeho gymnazija Budyšin.",Wutoru informuje knjez Wjacławk z Budyšina.,"1 prawje
2 wopak",1,reading_A1_3
